Reference,Habitat,Habitat2,Habitat_Type,Species,Species2,Response_Type_Communication-Behavior-Reproduction-Physiology,Song_Frequency_Low_Hz,Song_Frequency_High_Hz,Song_Loudness_low_dB,Song_Loudness_high_dB,Distance_meters_avg,Distance_meters,Independent_Variable_Standardized,Independent_Variable_more,Dependent_Variable,Dependent_Variable_Final,Sample_size_n, Effect size_numerical value,Mean,Standard_deviation,Standard_Error,High_Confidence_Interval,Low_Confidence_Interval (CI),R-square,t-value,Cohens d value_equations,"Effect Size Type - cohens_d
hedges_g
r
log_odds_ratio

or others....",Cohens d value
"Arroyo-Solís A, Castillo JM, Figueroa E, López-Sánchez JL, Slabbekoorn H. 2013. Journal of Avian Biology",Urban streets,Urban city,Urban,Greenfinch (Carduelis chloris),Finch,Communication,NA,NA,NA,NA,100,100 m transects,Control and Noise,,Aggression score,Effect on Bird,12,-0.142,NA,NA,NA,NA,NA,NA,-0.142,-0.04099186911,t,-0.04099186911
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,-0.02,NA,NA,NA,NA,NA,NA,NA,-0.0400080024,r,-0.0400080024
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.02,NA,NA,NA,NA,NA,NA,NA,-0.0400080024,r,-0.0400080024
"FrÃ¶hlich A, Ciach M. 2017. Ibis 160:634-646",Urban environment,Urban green spaces,Mixed,Tawny Owl (Strix aluco),Owl,Behavior,NA,NA,NA,NA,300,300 m between playback points,Environmental,"Area of largest wooded habitat patch, Nocturnal noise emission",Frequency,Song Frequency/Duration,60,-0.3,50.8,30,0.52,-1.31,0.72,NA,0.32,-0.03872983346,Estimates (+/- se),-0.03872983346
Carral-Murrieta et al. Avian Res (2020) 11:32,Urban citywide point-counts,Urban city,Urban,Multiple bird species (82 species recorded),Multiple,Behavior,NA,NA,NA,NA,50,50 m radius point-counts,Noise,,Number of hummingbird visits per 10 minutes,Abundance,114,-0.0187,NA,7.92,0.0276,NA,NA,0.148,NA,-0.03740654092,r,-0.03740654092
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,-0.01,NA,NA,NA,NA,NA,NA,NA,-0.02000100008,r,-0.02000100008
"Walters MJ, Guralnick RP, Kleist NJ, Robinson SK. 2019. The Condor","Urban environments in Gainesville, Florida",Urban green spaces,Urban,Northern Mockingbird (Mimus polyglottos),Mockingbird,Communication,NA,NA,NA,NA,15,15 m,Noise,"Perching height, Time of day",Abundance/Richness,Song Frequency/Duration,22,-0.0096,NA,NA,NA,-0.015,-0.0038,0.13-0.24,NA,-0.0192008848,Beta coefficient,-0.0192008848
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,Nest sites vs. random sites,Environmental,,Song latency,Song Frequency/Duration,18,-0.04,12.5,15.34,NA,NA,NA,NA,-0.04,-0.009428090416,t,-0.009428090416
"BermÃºdez-Cuamatzin E, Slabbekoorn H, MacÃ­as GarcÃ­a C. 2023. Ibis 165, 571-596",Urban environments in Mexico City,Urban city,Urban,House Finch (Haemorhous mexicanus),Finch,Communication,2756,3755,NA,NA,1,1 m,Noise,Origin (quiet/noisy),A-song Bandwidth - Construction ,Song Frequency/Duration,21,-0.0006,0.0957,NA,0.0018,-0.004,0.0029,NA,-0.322,-0.0012,Estimate,-0.0012
"Deoniziak K, Osiejuk TS. 2021. PLOS ONE. https://doi.org/10.1371/journal.pone.0257074",Urban green spaces and nonurban forests,Urban green spaces,Urban,Willow Warbler (Phylloscopus trochilus),Warbler,Communication,3000 ,6000 ,NA,NA,12.5,10-15 m,Mating,"Day in season, hour after sunrise",Frequency,Song Frequency/Duration,41,-0.0004,NA,NA,0.0005,-0.001,0.001,NA,NA,-0.000800000064,Model-averaged estimate,-0.000800000064
"Deoniziak K, Osiejuk TS. 2021. PLOS ONE. https://doi.org/10.1371/journal.pone.0257074",Urban green spaces and nonurban forests,Urban green spaces,Urban,Willow Warbler (Phylloscopus trochilus),Warbler,Communication,3000 ,6000 ,NA,NA,12.5,10-15 m,Mating,"Day in season, hour after sunrise",Frequency,Song Frequency/Duration,41,-0.0002,NA,NA,0.0651,-0.128,0.128,NA,NA,-0.000400000008,Model-averaged estimate,-0.000400000008
"Engel MS et al., Curr Pollut Reports, 2024","Multiple habitats (urban, rural, natural)",Urban to rural gradient,Mixed,Multiple Species of Birds,Multiple,Behavior,NA,NA,NA,NA,NA,NA,Noise,NA,Trials to Criterion,Effect on Bird,50,0.000,NA,NA,NA,NA,NA,NA,NA,0,epsilon-squared,0
Parris & Schneider 2009 - Impacts of Traffic Noise on Birds of Roadside Habitats,"Roadside habitats on the Mornington Peninsula, southeastern Australia",Road,Urban,Grey Shrike-thrush (Colluricincla harmonica),Shrike,Communication,2750,4000,NA,NA,NA,NA,Control,,Abundance/Richness,Song Frequency/Duration,27,NA,1583,52,NA,1480,1687,NA,NA,0,Frequency Shift,0
"Deoniziak K, Osiejuk TS. 2021. PLOS ONE. https://doi.org/10.1371/journal.pone.0257074",Urban green spaces and nonurban forests,Urban green spaces,Urban,Willow Warbler (Phylloscopus trochilus),Warbler,Communication,3000 ,6000 ,NA,NA,12.5,10-15 m,Mating,"Day in season, hour after sunrise",Frequency bandwidth,Song Frequency/Duration,41,0.0003,NA,NA,0.0018,-0.003,0.004,NA,NA,0.000600000027,Model-averaged estimate,0.000600000027
"BermÃºdez-Cuamatzin E, Slabbekoorn H, MacÃ­as GarcÃ­a C. 2023. Ibis 165, 571-596",Urban environments in Mexico City,Urban city,Urban,House Finch (Haemorhous mexicanus),Finch,Communication,2756,3755,NA,NA,1,1 m,Noise,Origin (quiet/noisy),Frequency,Song Frequency/Duration,21,0.0005,3645.09,NA,0.0013,-0.0021,0.003,NA,0.38,0.001,Estimate,0.001
Carral-Murrieta et al. Avian Res (2020) 11:32,Urban citywide point-counts,Urban city,Urban,Multiple bird species (82 species recorded),Multiple,Behavior,NA,NA,NA,NA,50,50 m radius point-counts,Noise,,Bird species richness,Abundance,114,0.0007,NA,7.92,0.0001,NA,NA,0.148,NA,0.001400000343,r,0.001400000343
"Deoniziak K, Osiejuk TS. 2021. PLOS ONE. https://doi.org/10.1371/journal.pone.0257074",Urban green spaces and nonurban forests,Urban green spaces,Urban,Willow Warbler (Phylloscopus trochilus),Warbler,Communication,3000 ,6000 ,NA,NA,12.5,10-15 m,Mating,"Day in season, hour after sunrise",Frequency bandwidth,Song Frequency/Duration,41,0.001,NA,NA,0.002,-0.003,0.005,NA,NA,0.002000001,Model-averaged estimate,0.002000001
"Walters MJ, Guralnick RP, Kleist NJ, Robinson SK. 2019. The Condor","Urban environments in Gainesville, Florida",Urban green spaces,Urban,Northern Mockingbird (Mimus polyglottos),Mockingbird,Communication,NA,NA,NA,NA,15,15 m,Noise,"Perching height, Time of day",Abundance/Richness,Song Frequency/Duration,22,0.0037,NA,NA,NA,-0.0027,0.0096,NA,NA,0.007400050654,Beta coefficient,0.007400050654
"Montenegro et al., 2021, Scientific Reports",Laboratory (operant conditioning chambers),Laboratory,Other,Poecile atricapillus,Chickadee,Behavior,NA,NA,NA,NA,NA,Operant chamber setup,Noise,Silence,Frequency,Noise,10,0.004,2.437,NA,NA,NA,NA,NA,NA,0.008,Eta-squared (ANOVA),0.008
"Montenegro et al., 2021, Scientific Reports",Laboratory (operant conditioning chambers),Laboratory,Other,Poecile atricapillus,Chickadee,Behavior,NA,NA,NA,NA,NA,Operant chamber setup,Noise,,Frequency,Noise,10,0.004,>0.80,NA,NA,NA,NA,NA,NA,0.008,Eta-squared (ANOVA),0.008
"Francis CD, Ortega CP, Cruz A. 2011. Vocal frequency change reflects different responses to anthropogenic noise in two suboscine tyrant flycatchers. Proceedings: Biological Sciences, 278(1714), 2025-2031",Pinon-juniper woodlands,Woodland,Rural,Ash-throated flycatcher (Myiarchus cinerascens),Flycatcher,Communication,1000,4000,NA,NA,10,5-15 m (recording distance),Noise,,Start time of dawn chorus (minutes relative to sunrise),Environment,72,0.005,0.48,NA,NA,NA,NA,NA,NA,0.01178511302,χ²,0.01178511302
Carral-Murrieta et al. Avian Res (2020) 11:32,Urban citywide point-counts,Urban city,Urban,Multiple bird species (82 species recorded),Multiple,Behavior,NA,NA,NA,NA,50,50 m radius point-counts,Noise,,Bird species richness,Abundance,114,0.0067,NA,7.92,0.0261,NA,NA,0.148,NA,0.01340030077,r,0.01340030077
"Halfwerk W, van Oers K. 2020. Proc. R. Soc. B 287: 20192952",Controlled experimental room,Laboratory,Other,Great Tit (Parus major),Tit,Behavior,NA,NA,NA,NA,NA,Not specified (experimental room: 4.0 x 2.4 x 2.5 m),Control and Noise,Prey target (conspicuous),Discrimination Ratio,Effect on Bird,12,-0.25,NA,NA,NA,NA,NA,NA,NA,0.01804219591,z-value,0.01804219591
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,0.01,NA,NA,NA,NA,NA,NA,NA,0.02000100008,r,0.02000100008
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,0.01,NA,NA,NA,NA,NA,NA,NA,0.02000100008,r,0.02000100008
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,Nest sites vs. random sites,Environmental,,Brood size (proportion of clutch hatched),Song Frequency/Duration,18,0.09,101.9,65.2,NA,NA,NA,NA,0.09,0.02121320344,t,0.02121320344
"Walters MJ, Guralnick RP, Kleist NJ, Robinson SK. 2019. The Condor","Urban environments in Gainesville, Florida",Urban green spaces,Urban,Northern Mockingbird (Mimus polyglottos),Mockingbird,Communication,NA,NA,NA,NA,15,15 m,Noise,"Perching height, Time of day",Abundance/Richness,Song Frequency/Duration,22,0.015,NA,NA,NA,0.0051,0.025,0.13-0.24,NA,0.03000337557,Beta coefficient,0.03000337557
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Communication,3965,5295,NA,NA,450,Distance from Highway (0-900 M),Control and Environmental,Treatment phase,Pause Length,Environment,450,6:00,NA,NA,NA,NA,NA,NA,NA,0.03333333333,χ²,0.03333333333
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Communication,3965,5295,NA,NA,450,Distance from Highway (0-900 M),Control and Environmental,Treatment phase,Duration,Environment,450,0.36,NA,NA,NA,NA,NA,NA,NA,0.04,χ²,0.04
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,0.02,NA,NA,NA,NA,NA,NA,NA,0.0400080024,r,0.0400080024
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Avoiders (e.g., Leistes loyca)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,0.02,NA,NA,NA,NA,NA,NA,NA,0.0400080024,r,0.0400080024
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Dwellers (e.g., Turdus falcklandii)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Richness,Abundance,29,0.02,NA,NA,NA,NA,NA,NA,NA,0.0400080024,r,0.0400080024
"Walters MJ, Guralnick RP, Kleist NJ, Robinson SK. 2019. The Condor","Urban environments in Gainesville, Florida",Urban green spaces,Urban,Northern Mockingbird (Mimus polyglottos),Mockingbird,Communication,NA,NA,NA,NA,15,15 m,Noise,"Perching height, Time of day",Abundance/Richness,Song Frequency/Duration,22,0.022,NA,NA,NA,0.013,0.03,0.13-0.24,NA,0.04401065187,Beta coefficient,0.04401065187
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,1 km x 1 km sample plots,Environmental,,Brood condition,Song Frequency/Duration,79,0.7,1.6,0.3,NA,NA,NA,NA,0.7,0.05512930715,z-test,0.05512930715
"Muñoz-Santos I, Ríos-Chelén AA. 2022. acta ethologica",Urban park (Chapultepec forest),Urban green spaces,Urban,Vermilion Flycatcher (Pyrocephalus rubinus),Flycatcher,Communication,2923,NA,NA,NA,10,10 m (playback speaker to bird); 5 m (microphone to bird),Noise,Ambient noise coefficient of variation,Time spent within 10 m (s),Effect on Bird,27,0.33,5.6,NA,NA,NA,NA,NA,0.33,0.06350852961,t,0.06350852961
"Muñoz-Santos I, Ríos-Chelén AA. 2022. acta ethologica",Urban park (Chapultepec forest),Urban green spaces,Urban,Vermilion Flycatcher (Pyrocephalus rubinus),Flycatcher,Communication,2923,NA,NA,NA,10,10 m (playback speaker to bird); 5 m (microphone to bird),Noise,Ambient noise coefficient of variation,Failed provisioning rate (events/h),Effect on Bird,27,0.39,2.4,NA,NA,NA,NA,NA,0.39,0.07505553499,t,0.07505553499
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Communication,3965,5295,NA,NA,450,Distance from Highway (0-900 M),Control and Environmental,Treatment phase,Min. Frequency,Environment,450,1.29,NA,NA,NA,NA,NA,NA,NA,0.07571877794,χ²,0.07571877794
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,1 km x 1 km sample plots,Environmental,,Trials to Criterion,Effect on Bird,79,0.038,NA,NA,0.017,0.004,0.071,NA,NA,0.076,Estimate,0.076
"Rios-ChelÃ©n AA, Lee GC, Patricelli GL. 2015. Behav Ecol Sociobiol","Mix of wetlands, grasslands, and cattails",Marsh,Mixed,Red-winged blackbird (Agelaius phoeniceus),blackbird,Communication,1550,6379,NA,NA,NA,"Distance measured with rangefinder, specific values not summarized",Noise,,Partial hatch,Song Frequency/Duration,55,0.04,7.3,1.4,NA,NA,NA,NA,NA,0.0800640769,r,0.0800640769
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,1 km x 1 km sample plots,Environmental,,Frequency,Song Frequency/Duration,79,-0.96,3.9,6.1,NA,NA,NA,NA,-0.96,0.1036881009,z-test,0.1036881009
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Communication,3965,5295,NA,NA,450,Distance from Highway (0-900 M),Control and Environmental,Treatment phase,Pause Length,Environment,450,2.42,NA,NA,NA,NA,NA,NA,NA,0.1037089946,χ²,0.1037089946
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Behavior,3965,5295,NA,NA,400,≤400 m from highways,Environmental,"Distance, Site and treatment phase",Territory Density,Song Frequency/Duration,450,2.42,NA,NA,NA,NA,NA,NA,NA,0.1037089946,χ²,0.1037089946
"Van Donselaar et al., Urban Ecosystems (2018) 21:1043-1051","Urban to rural gradient in Kent County, Michigan",Urban to rural gradient,Mixed,Black-capped chickadee (Poecile atricapillus),chickadee,Behavior,NA,NA,NA,NA,1000,Feeder stations separated by >1 km,Environmental,,Abundance/Richness,,24,0.054,NA,NA,0.021,NA,NA,NA,2.608,0.1081578092,Beta coefficient,0.1081578092
"FrÃ¶hlich A, Ciach M. 2017. Ibis 160:634-646",Urban environment,Urban green spaces,Mixed,Tawny Owl (Strix aluco),Owl,Behavior,NA,NA,NA,NA,300,300 m between playback points,Environmental,pollutant,Frequency,Song Frequency/Duration,23,0.59,1246,1390.6,NA,NA,NA,NA,0.59,0.1230235043,t,0.1230235043
"Kleist NJ, Guralnick RP, Cruz A, Francis CD. 2016. Ecosphere",PiÃ±on-juniper woodlands with natural gas extraction activity,Woodland,Rural,Spotted Towhee (Pipilo maculatus),Towhee,Communication,2078.677,7855.327,NA,NA,17,17 m,Noise,Species identity,Visiual threat display,Effect on Bird,19,0.075,18 s,NA,0.024,NA,NA,NA,NA,0.1504236632,Beta coefficient,0.1504236632
"Kleist NJ, Guralnick RP, Cruz A, Francis CD. 2016. Ecosphere",PiÃ±on-juniper woodlands with natural gas extraction activity,Woodland,Rural,Chipping Sparrow (Spizella passerina),Sparrow,Communication,3182.83,6745.59,NA,NA,17,17 m,Noise,Species identity,Interaction of treatment* Habitat,Effect on Bird,12,0.075,63.58 s,NA,0.024,NA,NA,NA,NA,0.1504236632,Beta coefficient,0.1504236632
Arévalo et al. 2022. Scientific Reports,"Urban green spaces in Santiago, Chile",Urban green spaces,Urban,"Urban Utilizers (e.g., Columbina picui, Sephanoides sephaniodes)",,Behavior,NA,NA,NA,NA,NA,NA,Environmental,"NDVI, tree cover, native vegetation, building height, building cover",Abundance,Abundance,29,0.08,NA,NA,NA,NA,NA,NA,NA,0.1605144708,r,0.1605144708
"Wood WE, Yezerinac SM. 2006. The Auk 123(3):650-659",Urban environments,Urban green spaces,Urban,Song Sparrow (Melospiza melodia),Sparrow,Communication,1140,9280,NA,NA,10,â‰¤10 m (microphone to singing perch),Noise,,Abundance/Richness,Song Frequency/Duration,28,0.08,NA,NA,NA,NA,NA,NA,NA,0.1605144708,r,0.1605144708
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Behavior,3965,5295,NA,NA,400,≤400 m from highways,Environmental,"Distance, Site and treatment phase",Territory Density,Song Frequency/Duration,450,6,NA,NA,NA,NA,NA,NA,NA,0.1632993162,χ²,0.1632993162
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Reaction,Abundance,27,0.362,NA,NA,NA,NA,NA,NA,NA,0.1637522971,χ²,0.1637522971
"Kight CR, Saha MS, Swaddle JP. 2012. Ecological Applications","Anthropogenic noise gradient in various habitats (cemeteries, campuses, parks, golf courses)",Urban green spaces,Mixed,Eastern Bluebird (Sialia sialis),Bluebird,Communication,1500,4000,NA,NA,20,20 m from nest box,Environmental,Breeding density (Density PC),Frequency,Noise,43,0.614,NA,NA,NA,NA,NA,NA,NA,0.1689915369,χ²,0.1689915369
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Communication,3965,5295,NA,NA,450,Distance from Highway (0-900 M),Control and Environmental,Treatment phase,Max. Frequency,Environment,450,7.14,NA,NA,NA,NA,NA,NA,NA,0.1781385229,χ²,0.1781385229
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Woodland,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Behavior,3965,5295,NA,NA,400,≤400 m from highways,Environmental,"Distance, Site and treatment phase",Territory Density,Song Frequency/Duration,450,7.14,NA,NA,NA,NA,NA,NA,NA,0.1781385229,χ²,0.1781385229
"FrÃ¶hlich A, Ciach M. 2017. Ibis 160:634-646",Urban environment,Urban green spaces,Mixed,Tawny Owl (Strix aluco),Owl,Behavior,NA,NA,NA,NA,300,300 m between playback points,Environmental,Winter_birds,Frequency,Song Frequency/Duration,23,0.88,50.8,33,NA,NA,NA,NA,0.88,0.1834926844,t,0.1834926844
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Bird species richness,Abundance,27,0.466,NA,NA,NA,NA,NA,NA,NA,0.1857915997,χ²,0.1857915997
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,1 km x 1 km sample plots,Environmental,,Frequency,Song Frequency/Duration,79,1.33,10.2,12.1,NA,NA,NA,NA,1.33,0.1990167988,z-test,0.1990167988
"Gough DC, Mennill DJ, Nol E. 2014. The Wilson Journal of Ornithology 126(2):269-278",Coastal forests,Woodland,Rural,Pacific Wren (Troglodytes pacificus),Wren,Communication,5387.81,NA,NA,NA,102,5-200 m from noise source,Environmental,,Frequency,Song Frequency/Duration,52,0.01,16.01,NA,0.25,NA,NA,0.01,NA,0.2010075631,R²,0.2010075631
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Activity duration (s/h),Abundance,27,0.546,NA,NA,NA,NA,NA,NA,NA,0.2011080417,χ²,0.2011080417
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Feeding duration (s/h),Abundance,27,0.627,NA,NA,NA,NA,NA,NA,NA,0.2155097317,χ²,0.2155097317
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Yellow warbler*,Warbler,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Peak Crow Activity,Abundance,113,0.11,NA,NA,0.1,0.31,-0.09,NA,NA,0.2213432019,Beta coefficient,0.2213432019
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Number of birds approaching speaker,Abundance,27,0.68,NA,NA,NA,NA,NA,NA,NA,0.2244334431,χ²,0.2244334431
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Western tanager,Tanager,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Area of grassland (GRASSLAND),Abundance,113,0.12,NA,NA,0.33,0.78,-0.53,NA,NA,0.2417468892,Beta coefficient,0.2417468892
"Ozkan K, Langley JM, Talbott JW, Kleist NJ, Francis CD. 2024. PeerJ 12:e18558",Rangelands and oak woodlands,Woodland,Rural,Western Bluebird (Sialia mexicana),Bluebird,Behavior,NA,NA,NA,NA,12.5,10-15 m from speaker to nest,Noise,Trial order,Song minimum frequency (Hz),Noise,24,0.12,NA,NA,NA,0.01,0.22,NA,NA,0.2417468892,Beta coefficient,0.2417468892
"FrÃ¶hlich A, Ciach M. 2018. Current Zoology, 64(5), 575-583",Urban-farmland matrix,Farmland,Mixed,Long-eared owl (Asio otus),Owl,Behavior,NA,NA,NA,NA,NA,Nest sites vs. random sites,Environmental,,Flight latency,Song Frequency/Duration,18,1.08,77.17,89.76,NA,NA,NA,NA,1.08,0.2545584412,t,0.2545584412
"Damsky J, Gall MD. 2017. The Condor 119:26-33",Ecological preserve,Wildlife preserve,Rural,Black-capped Chickadee and Tufted TitMouse,Chickadee,Behavior,NA,NA,NA,NA,20,20 m (speaker to platform),Noise,"Trial time (before, during, after)",Number of birds approaching speaker,Abundance,27,0.885,NA,NA,NA,NA,NA,NA,NA,0.2560381916,χ²,0.2560381916
"Proppe DS, Sturdy CB, St. Clair CC. 2013. Global Change Biology",Urban green spaces and transportation greenbelts,Urban green spaces,Urban,Western tanager,Tanager,Behavior,NA,NA,NA,NA,NA,NA,Environmental,Multiple,Area of woodlands (WOODLAND),Abundance,113,0.14,NA,NA,0.26,0.65,-0.38,NA,NA,0.2827850071,Beta coefficient,0.2827850071
"Gough DC, Mennill DJ, Nol E. 2014. The Wilson Journal of Ornithology 126(2):269-278",Coastal forests,Woodland,Rural,Pacific Wren (Troglodytes pacificus),Wren,Communication,5387.81,NA,NA,NA,102,5-200 m from noise source,Environmental,,HVC Volume,Song Frequency/Duration,58,0.02,5387.81,NA,19.65,NA,NA,0.02,NA,0.2857142857,R²,0.2857142857
"Gough DC, Mennill DJ, Nol E. 2014. The Wilson Journal of Ornithology 126(2):269-278",Coastal forests,Woodland,Rural,Pacific Wren (Troglodytes pacificus),Wren,Communication,5387.81,NA,NA,NA,102,5-200 m from noise source,Environmental,,% Sequence Similarity (PHD 200),Song Frequency/Duration,52,0.02,5387.81,NA,19.65,NA,NA,0.02,NA,0.2857142857,R²,0.2857142857
"Gough DC, Mennill DJ, Nol E. 2014. The Wilson Journal of Ornithology 126(2):269-278",Coastal forests,Woodland,Rural,Pacific Wren (Troglodytes pacificus),Wren,Communication,5387.81,NA,NA,NA,102,5-200 m from noise source,Environmental,Time of day,Song Rate,Song Frequency/Duration,52,0.02,159.92,NA,4.56,NA,NA,0.02,NA,0.2857142857,R²,0.2857142857
Önsal et al. 2022,Rural,Rural,Rural,European robin (Erithacus rubecula),Robin,Communication,NA,NA,NA,NA,NA,Song rate,Noise,Habitat type,Frequency,Noise,12,1.01,39.9,3.6,NA,NA,NA,NA,1.01,0.2915618859,t,0.2915618859
"Long AM et al. 2017. Ecology and Evolution, 7:379-389",Urban warbler habitat,Urban green spaces,Urban,Golden-cheeked warbler (Setophaga chrysoparia),Warbler,Communication,3965,5295,NA,NA,450,0-900 m from highways,Control and Environmental,Treatment phase,Frequency,Noise,19000,0.15,NA,NA,NA,NA,NA,NA,NA,0.3,F,0.3
"Kight CR, Saha MS, Swaddle JP. 2012. Ecological Applications","Anthropogenic noise gradient in various habitats (cemeteries, campuses, parks, golf courses)",Urban green spaces,Mixed,Eastern Bluebird (Sialia sialis),Bluebird,Communication,1500,4000,NA,NA,20,20 m from nest box,Environmental,Breeding density (Density PC),Frequency,Noise,43,2.18,NA,NA,NA,NA,NA,NA,NA,0.3184263633,χ²,0.3184263633
